Impact factor,Unit,Carbon footprint (kg CO2e),Eco-costs(euro),Source
Simmon/Persimmon FSC/PEFC 835 (kg/m3),kg,0.219,0.05,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
SMC and DMC 25% GL,kg,1.493,0.46,Idemat data mix
SMC and DMC 50% GL,kg,1.436,0.44,Idemat data mix
SMC co-firing in electrical power plant,kg,0.319,0.03,CO2 emissions from combustion and credits for the delivered energy -17.2 MJth gas
"SMC waste combustion, clean tech, without heat recovery",kg,1.72,0.24,0
SMC waste incineration with electricity,kg,1.019,0.14,CO2 emissions from combustion and credits for the delivered energy -8.6 MJth gas
"SmCo (1:5) magnet, 20 MGOe",kg,53.654,78.88,"Cullit BV and Graham CD. Introducttion to magnetic materials 2nd edition, Wiley"
"Sodium Carbonate (soda, Na2CO3)",kg,1.139,0.24,0
Sodium Chloride (US),kg,0.161,0.03,0
"Sodium Chloride, NaCl (plasticseurope)",kg,0.06,0.02,0
Sodium Chlorite,kg,0.06,0.02,0
Sodium cocoamphoacetate,kg,3.381,0.5,#VALUE!
Sodium cumene sulphonate,kg,1.723,0.26,#VALUE!
Sodium Cumenesulphonate,kg,2.211,1.47,0
Sodium dodecylbenzenesulfonate,kg,1.736,0.26,0
Sodium Hydroxide (US 2011),kg,0.738,0.13,0
"Sodium Hydroxide, NaOH (average of USLCI, Plasticseurope, EU",kg,0.749,0.15,0
"Sodium Hydroxide, NaOH (European Chlor-Alkali Industry 2022)",kg,0.65,0.14,0
"Sodium Hydroxide, NaOH (Plasticseurope 2013)",kg,0.86,0.16,0
"Sodium Hypochlorite, NaOCl (European Chlor-Alkali Industry 2",kg,0.63,0.13,0
"Sodium Hypochlorite, NaOCl (Plasticseurope 2013)",kg,0.93,0.18,0
Sodium Silicate,kg,1.304,0.2,"Matthias Fawer, Martin Concannon, Wolfram Rieber. 1999. Life Cycle Inventories for the Production of Sodium Silicates. Int. J. LCA 4 (4) 207-212 (1999)"
Sodium Sulphate,kg,3.457,0.52,"Roes, Tabak, Shen, Nieuwlaar, Patel. August 2010. Influence of using nanoobjects as filler on functionality-based energy use of nanocomposites.  Journal of Nanoparticle Research 12(6):2011-2028"
"Softwood 0% MC, co-firing in electrical power plant",kg,-1.744,-0.24,credits for the delivered energy -21.4 MJth gas
"Softwood 0% MC, combustion in small elec. power plant",kg,-1.222,-0.17,credits for the delivered energy -15.0 MJth gas
"Softwood 12% MC, co-firing in electrical power plant",kg,-1.507,-0.21,credits for the delivered energy -18.5 MJth gas
"Softwood 12% MC, combustion in small elec. power plant",kg,-1.055,-0.14,credits for the delivered energy -12.95 MJth gas
"Softwood, 0%MC, waste incineration with electricity",kg,-0.959,-0.13,credits for the delivered energy -11.77 MJth gas
"Softwood, 12%MC, waste incineration with electricity",kg,-0.831,-0.11,credits for the delivered energy -10.2 MJth gas
"Softwood, fresh, 50% MC, co-firing in electrical power plant",kg,-0.766,-0.1,credits for the delivered energy -9.4 MJth gas
"Softwood, fresh, 50% MC, combustion in small elec. power pla",kg,-0.536,-0.06,credits for the delivered energy -9.4 MJth gas
"Softwood,fresh, 50%MC, waste incineration with electricity",kg,-0.424,-0.05,credits for the delivered energy -5.2 MJth gas
solder Lead Tin/Lead 60/40 (normal),kg,10.818,17.67,LCA of components with Idemat LCIs
"solder leadfree electronic industry (Ag3.9, Cu0.6)",kg,20.048,49.21,LCA of components with Idemat LCIs
solder Tin/Lead 63/37 solder electronic industry,kg,11.264,18.43,LCA of components with Idemat LCIs
"Solvent based paint, transparent, incl evaporation solvent",kg,3.742,2.11,"data from: ""Life-cycle assessment of Architectural coatings"", Coatings Tech, may 2021"
"Solvent based paint, white, incl evaporation solvent",kg,4.363,3.44,"data from: ""Life-cycle assessment of Architectural coatings"", Coatings Tech, may 2021"
Sorona (PTT) biobased,kg,3.324,0.92,"copy Idemat2023 PTT (Polyltrimethylene terephthalate), confidential Dupont report (University of Utrecht plus De;lft University of Technology)"
Soy meal at coast Brazil,kg,5.936,1.58,#VALUE!
Soy meal at coast USA,kg,0.487,0.11,#VALUE!
"Soy oil, refined at coast Brazil",kg,6.182,1.65,#VALUE!
"Soy oil, refined at coast USA",kg,0.511,0.11,#VALUE!
"Soybean grain, harvested and transported to coast Brazil",kg,5.676,1.53,#VALUE!
"Soybean grain, harvested and transported to coast USA",kg,0.335,0.08,#VALUE!
Soybean oil from Brazil in Rotterdam,kg,6.237,1.66,#VALUE!
Soybean oil from USA in Rotterdam,kg,0.558,0.13,#VALUE!
"Soybean oil, crude, degummed at coast Brazil",kg,5.94,1.58,#VALUE!
"Soybean oil, crude, degummed at coast USA",kg,0.488,0.11,#VALUE!
Spinac fresh,kg,0.322,0.48,copy agri-footprint
spinning cotton 100 dtex,kg,4.973,0.86,"Van der Velden, Patel, Vogtlander,2014. LCA benchmarking study on textiles, made of cotton, polyester, nylon, acryl, or ellastane. Int J of LCA Vol 19 pp 331-356"
spinning cotton 150 dtex,kg,3.314,0.58,"Van der Velden, Patel, Vogtlander,2014. LCA benchmarking study on textiles, made of cotton, polyester, nylon, acryl, or ellastane. Int J of LCA Vol 19 pp 331-356"
spinning cotton 200 dtex,kg,2.487,0.43,"Van der Velden, Patel, Vogtlander,2014. LCA benchmarking study on textiles, made of cotton, polyester, nylon, acryl, or ellastane. Int J of LCA Vol 19 pp 331-356"
spinning cotton 300 dtex,kg,1.659,0.29,"Van der Velden, Patel, Vogtlander,2014. LCA benchmarking study on textiles, made of cotton, polyester, nylon, acryl, or ellastane. Int J of LCA Vol 19 pp 331-356"
spinning cotton 400 dtex,kg,1.246,0.22,"Van der Velden, Patel, Vogtlander,2014. LCA benchmarking study on textiles, made of cotton, polyester, nylon, acryl, or ellastane. Int J of LCA Vol 19 pp 331-356"
spinning cotton 45 dtex,kg,11.05,1.92,"Van der Velden, Patel, Vogtlander,2014. LCA benchmarking study on textiles, made of cotton, polyester, nylon, acryl, or ellastane. Int J of LCA Vol 19 pp 331-356"
spinning cotton 500 dtex,kg,0.995,0.17,"Van der Velden, Patel, Vogtlander,2014. LCA benchmarking study on textiles, made of cotton, polyester, nylon, acryl, or ellastane. Int J of LCA Vol 19 pp 331-356"
spinning cotton 70 dtex,kg,7.106,1.23,"Van der Velden, Patel, Vogtlander,2014. LCA benchmarking study on textiles, made of cotton, polyester, nylon, acryl, or ellastane. Int J of LCA Vol 19 pp 331-356"
spinning extruder polymer filaments (80 - 500 dtex),kg,0.942,0.17,"Van der Velden, Patel, Vogtlander,2014. LCA benchmarking study on textiles, made of cotton, polyester, nylon, acryl, or ellastane. Int J of LCA Vol 19 pp 331-356"
spinning viscose fibres (80-500 dtex),kg,0.227,0.04,"Van der Velden, Patel, Vogtlander,2014. LCA benchmarking study on textiles, made of cotton, polyester, nylon, acryl, or ellastane. Int J of LCA Vol 19 pp 331-356"
Spot welding Al. 0.5,p,0.027,0,"Spot  welding process, aluminium sheet 0.5  mm (x2); energy 0.198 MJ per weld; no emissions available"
Spot welding Al. 1,p,0.054,0.01,"Spot  welding process, aluminium sheet 1  mm (x2); energy 0.3953 MJ per weld; no emissions available"
Spot welding Al. 1.5,p,0.108,0.02,"Spot  welding process, aluminium sheet 1.5  mm (x2); energy 0.791 MJ per weld; no emissions available"
Spot welding Al. 3,p,0.254,0.04,"Spot  welding process, aluminium sheet 3 mm (x2); energy 1.858 MJ per weld; no emissions available"
"Spruce, European FSC/PEFC 460 (kg/m3)",kg,0.166,0.03,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
St13,kg,0.904,0.22,mix of the Idemat data of the basic metals
St14,kg,0.904,0.22,mix of the Idemat data of the basic metals
"Stainless Steel (secondary), average",kg,1.935,0.45,energy from CESedupack
Starch PBS 50%-50% (Polybutylene succinate) co-firing in ele,kg,-1.385,-0.19,https://en.wikipedia.org/wiki/Starch
"Starch PBS 50%-50% (Polybutylene succinate) waste combustion, clean tech, withou",kg,0,0.01,0
Starch PBS 50%-50% (Polybutylene succinate) waste incinerati,kg,-0.762,-0.1,https://en.wikipedia.org/wiki/Starch
Starch-PBS 50%-50% blend biodegradeble plastic chemical upcy,kg,2.192,0.38,#VALUE!
"Starch-PBS 50%-50% blend biodegradeble plastic, closed loop",kg,0,0,#VALUE!
Steel (21% sec = standard mix average) EU hot rolled coil,kg,0.931,0.22,"copy from ELCD Steel hot rolled coil, blast furnace route, prod. mix, thickness 2-7 mm, width 600-2100 mm RER S"
"Steel (secondary), beams, sheet",kg,0.645,0.12,"steel beams Germany electrosteel, from EPD of IBU 2021 (by Gabi). Structural section steel CELSA Group https://epd-online.com/EmbeddedEpdList/Download/12971"
"Steel beams, pipes, sheet (from trade mix 44% recycled)",kg,0.848,0.19,market mix in the Netherlands
Steel hot rolled sheet USA,kg,2.305,0.52,"calculated from USLCI Hot rolled sheet, steel, at plant, RNA"
"Steel, recycling credit closed loop (56% virgin part in trad",kg,-0.16,-0.06,#VALUE!
Sterculia/Niangon FSC/PEFC 700 (kg/m3),kg,0.354,0.07,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
Sterculia/Niangon natural forest 700 (kg/m3),kg,3.804,4.04,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
Stoneware,kg,0.41,0.08,"Environmental assessment for the production of sanitary ware in the  Netherlands, situation 2000. Transport of raw materials included."
stonewool,kg,1.269,0.23,from EPD of IBU: Rockwool (by thinkstep) 2018
Strawberry (Switserland) excl transport,kg,0.221,0.07,"Franziska Stoessel,* Ronnie Juraske, Stephan Pfister, and Stefanie Hellweg ""Life Cycle Inventory and Carbon and Water FoodPrint of Fruits and Vegetables: Application to a Swiss Retailer"
Strontium,kg,4.817,1.39,"Nuss and Eckelman, 2014, Life Cycle Assessment of Metals: A Scientific Synthesis, PLOS ONE, - supporting information- . Table S38. hardly no recycling, no data in RMIS – Raw Materials Information System, assesed 2023-07-13"
Styrene,kg,2.09,0.31,"data from Plastic Europe, with small correction on ecotoxicity"
Sugar (in kg bag),kg,1.024,0.37,0
Sulphur,kg,0,0,"is waste from refineries and power plantes, so no eco-costs (""cut-off""at the waste stockpile)"
Sulphuric acid,kg,0.089,0.02,#VALUE!
Supermalloy,kg,9.438,21.29,mix of the Idemat data of the basic metals + extra melting energy
Sycamore FSCA.160.05.128/PEFC 615 (kg/m3),kg,0.307,0.07,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
Tantalum (EoL-RIR = 87%),kg,202.641,"1,363.01","LCI from ProBas, Umwelt Buindesambt. 1% recycled. Litt. recycle rate EoL-RIR from erostat data or report JRC, Towards Recycling Indicators based on EU flows and Raw Materials System Analysis data. 2018"
Tchitola FSC/PEFC 630 (kg/m3),kg,0.245,0.06,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
Tchitola natural forest 630 (kg/m3),kg,3.695,5.85,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
TDI (toluene diisocyanate),kg,3.14,1.01,Plastics Europe LCI database
TDI co-firing in electrical power plant,kg,0.316,0.03,"energy from stoichiometric calculation, see excel file 'embedded oil, heat of combustion, CO2 emissions and pyrolysis plastics&chemicals.xls' at https://www.ecocostsvalue.com/lca/eol-and-recycling/"
"TDI waste combustion, clean tech, without heat recovery",kg,2.28,0.32,0
TDI waste incineration with electricity,kg,1.2,0.16,"energy from stoichiometric calculation, see excel file 'embedded oil, heat of combustion, CO2 emissions and pyrolysis plastics&chemicals.xls' at https://www.ecocostsvalue.com/lca/eol-and-recycling/"
Teak FSC/PEFC 665 (kg/m3),kg,0.3,0.07,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
Teak natural forest 665 (kg/m3),kg,3.75,5.13,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
Tellurium (EoL-RIR = 1%),kg,44.538,124.38,"Nuss and Eckelman, 2014, Life Cycle Assessment of Metals: A Scientific Synthesis, PLOS ONE, - supporting information- , 1% recycled, see JRC report : Towards recycling indicators based on EU flows and raw materials analysis system data. 2018"
Terbium,kg,602.004,"1,565.58","Nuss and Eckelman, 2014, Life Cycle Assessment of Metals: A Scientific Synthesis, PLOS ONE, - supporting information- "
Tetrahydrofuran,kg,5.492,0.92,Sutter J. Life Cycle Inventories of Petrochemical Solvents. Data v2.0. Uster December 2007. Research gate. https://www.researchgate.net/publication/313054728_Life_Cycle_Inventories_of_Petrochemical_Solvents_Data_v20_Uster_2007
texturing polymer fibres,kg,0.492,0.09,"Van der Velden, Patel, Vogtlander,2014. LCA benchmarking study on textiles, made of cotton, polyester, nylon, acryl, or ellastane. Int J of LCA Vol 19 pp 331-356"
Thallium,kg,331.814,"3,368.09",copy ProBas
"thermo forming, machine only",kg,0.217,0.04,0
"thermo forming, production site",kg,0.443,0.08,0
Thorium,kg,111.269,151.51,"Nuss and Eckelman, 2014, Life Cycle Assessment of Metals: A Scientific Synthesis, PLOS ONE, - supporting information- . Table S38. hardly no recycling, no data in RMIS – Raw Materials Information System, assesed 2023-07-13"
TiAl5Sn2,kg,37.448,22.03,mix of the Idemat data of the basic metals + extra melting energy
TiAl6V4,kg,37.042,22.22,mix of the Idemat data of the basic metals + extra melting energy
Tiama FSC/PEFC 560 (kg/m3),kg,0.25,0.06,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
Tiama natural forest 560 (kg/m3),kg,3.7,9.24,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
Tin (virgin),kg,16.769,27.88,"LCI from ProBas, Umwelt Bundesambt. 32% recycled. Litt. recycle rate EoL-RIR from erostat data or report JRC, Towards Recycling Indicators based on EU flows and Raw Materials System Analysis data. 2018"
Titanium (primary),kg,29.56,20.75,#VALUE!
Titanium (secondary),kg,19.188,3.34,"39 kWh/kg Ti. Litt. Bravard and Portal, 1971. Energy Expenditures Associated with the Production and Recycle of Metals. Oak Ridge National Laboratories. Available at https://www.osti.gov/servlets/purl/7351678"
Titanium dioxide,kg,7.544,10.24,"Middlemas et al 2015 Life cycle assessment comparison of emerging and traditional Titanium dioxide manufacturing processes, Journal of Cleaner Production 89 (2015) 137e147"
"Titanium trade mix (99% prim, 1% sec)",kg,29.456,20.58,JRC report : Towards recycling indicators based on EU flows and raw materials analysis system data. 2018
"Titanium, recycling credit closed loop (81% virgin part in",kg,-8.402,-14.11,#VALUE!
TiV15SnCrAl3,kg,35.881,24.11,mix of the Idemat data of the basic metals + extra melting energy
Toluene,kg,1.22,0.21,#VALUE!
"Tomatoes fresh from dutch greenhouse with light, average",kg,2.695,0.41,#VALUE!
"Tomatoes fresh from dutch greenhouse with light, dec-feb",kg,4.038,0.61,#VALUE!
"Tomatoes fresh from dutch greenhouse with light, jun-sep",kg,1.353,0.21,#VALUE!
"Tomatoes fresh from dutch greenhouse without light, 40% geot",kg,0.959,0.15,#VALUE!
"Tomatoes fresh from dutch greenhouse without light, average",kg,1.537,0.23,#VALUE!
"Tomatoes fresh from dutch greenhouse without light, dec-feb",kg,2.3,0.35,#VALUE!
"Tomatoes fresh from dutch greenhouse without light, jun-sep",kg,0.774,0.12,#VALUE!
"Tomatoes fresh from french greenhouse, without light, averag",kg,2.188,0.34,"Boulard T, Raeppel C, Brun R, Lecompte F, Hayer F, Carmassi G, Gaillard G. 2011 Environmental impact of greenhouse tomato production in France. Agronomy Sust. Developm. (2011) 31:757–777. DOI 10.1007/s13593-011-0031-3 "
Tomatoes fresh from greenhouse,kg,0.834,0.14,"Franziska Stoessel,* Ronnie Juraske, Stephan Pfister, and Stefanie Hellweg ""Life Cycle Inventory and Carbon and Water FoodPrint of Fruits and Vegetables: Application to a Swiss Retailer"
Tomatoes fresh from maroc,kg,0.062,0.04,"Payen S, Basset-Mens C, Perret S. LCA of local and imported tomato: an energy and water trade-off Journal of Cleaner Production 87 (2015) 139e148"
Tomatoes fresh from spain,kg,0.052,0.04,"Payen S, Basset-Mens C, Perret S. LCA of local and imported tomato: an energy and water trade-off Journal of Cleaner Production 87 (2015) 139e148"
"Tomatoes fresh from swiss greenhouse, average",kg,0.834,0.14,"Franziska Stoessel,* Ronnie Juraske, Stephan Pfister, and Stefanie Hellweg ""Life Cycle Inventory and Carbon and Water FoodPrint of Fruits and Vegetables: Application to a Swiss Retailer"
Toxaphene (Polychlorocamphene),kg,3.441,0.56,"data from: Stout B.A. and Helsel Z.R.. 1987 ""Energy in World Agriculture, Volume 2"" Chapter 7"
Tractor (240 pk),tkm,0.221,0.06,test Niedersachsen 7 tractors in 2013 https://nieuwetractorkopen.nl/wp-content/uploads/2018/07/2013-03-Doordruk-Schleppertest-Grondig.pdf
"Train, freight diesel (tkm)",tkm,0.019,0.01,calculation based on energy
"Train, freight, electric (tkm)",tkm,0.01,0,calculation based on energy
Transport tomatoes bern-nuremberg,kg,0.015,0,Idemat transport
Transport tomatoes marocco-nuremberg,kg,0.101,0.03,Idemat transport
Transport tomatoes naaldwijk-nuremberg,kg,0.02,0.01,Idemat transport
